X,Y,name,cp
-8.78452966048468,42.3112744562038,Bueu,36004
-3.91851610678861,40.6809814179163,El Redegüelo,53058
-1.76171042685712,42.7205869818253,Uterga,31246
-3.07074810894209,42.4907694867535,Tormantos,26150
-3.56256675890784,37.4950291220287,Dehesas Viejas,18065
-6.30186370625488,37.5330575689598,Aznalcóllar,41013
2.64559744193766,39.7544631791291,Deià,7018
-5.03221577404934,41.1761920917711,Bobadilla del Campo,47020
-4.87608743390075,38.3340505176623,Añora,14006
-3.24424824636159,40.3227974353981,Villar del Olmo,28179
-0.46518731157777,39.8336411293357,Geldo,12067
-4.28712603091116,37.6789917893163,Baena,14007
1.85326858159802,41.2498205206387,Sitges,8270
-8.47076688817829,42.2188949040231,Mondariz-Balneario,36031
-0.428178762604602,38.4119978784679,Sant Joan d'Alacant,3119
